date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2017-07-23,,,,0.0,555.89,85013.0,,,,,,,,,,
2017-07-24,,,,0.0,412.58,190952.0,,,,,,,,,,
2017-07-25,,,,0.0,441.35,524908.0,,,,,,,,,,
2017-07-26,,,,0.0,407.08,1784639.9999999998,,,,,,,,,,
2017-07-27,,,,0.0,417.1,533207.0,,,,,,,,,,
2017-07-28,,,,0.0,386.65,1230160.0,,,,,,,,,,
2017-07-29,,,,0.0,410.57,737815.0,,,,,,,,,,
2017-07-30,,,,0.0,385.14,606695.0,,,,,,,,,,
2017-07-31,,,,0.0,346.36,1075960.0,,,,,,,,,,
2017-08-01,,,,4855615612.790716,294.6,65988800.00000001,215325143.24102727,,,,,,,,,
2017-08-02,,,,6302412307.0645075,382.38,416207008.00000006,246348161.79063642,,,,,,,,,
2017-08-03,420493677.86658376,331352075.3512896,20909,7392235056.307816,448.49,161518000.0,363692399.7680638,437.5,20.23473119,73260,295657053175.209,12444,629.6062865476999,0.00033919,16479358,35
2017-08-04,447588072.6122763,329845060.293952,26517,5969656149.705986,362.18,185038000.0,476744748.79693955,237.5,21.32449804,88171,225505642691.992,16108,669.1440400554001,0.00025842,21743417,19
2017-08-05,231673055.86031318,174528052.51784605,15194,3809332514.431668,231.11,144043008.0,496535770.0627731,162.5,11.22425776,53859,225505642691.992,9989,450.39256441850006,0.00025225,12025454,13
2017-08-06,191471418.9920443,130659664.51940936,11791,3497474586.912082,212.18,107606000.0,526016388.78150487,812.5,9.15282496,41285,151123557512.237,7905,380.5597271578,0.00023615,8983068,65
2017-08-07,282773638.3046072,150298987.7877168,16114,3688627309.686008,223.76,346545984.0,588321442.0129608,975.0,8.680352300000001,56637,144323701657.02,12207,533.0584648648,0.00019493,11194094,78
2017-08-08,312076697.5803528,142033060.42390206,12855,5297452201.448668,321.35,274880000.0,636910071.9416153,287.5,8.44009814,37606,133028839463.021,9440,642.9548112690001,0.00021661,10794377,23
2017-08-09,189875351.95610458,123363609.72467875,10798,5692395447.261048,345.28,165032000.0,654782679.9523638,1187.5,5.51291228,31398,115459053827.912,7460,857.2034739007998,0.00019493,6894409,95
2017-08-10,135296549.81085926,88738304.19399586,9949,5032212212.165464,305.21,136636992.0,668768817.1066661,1250.0,5.30796253,31366,115459053827.912,7609,621.5845817999999,0.00021382,7010906,100
2017-08-11,189923981.94311172,87240438.3026152,10507,4548837163.093834,275.88,233971008.0,697234814.1538508,837.5,4.78128428,30578,115459053827.912,8549,787.6600966476,0.000187,6132245,67
2017-08-12,246619061.63768566,84767049.87452908,7543,5405527079.591599,327.82,126007000.0,711000390.2420708,900.0,4.60345208,24435,115459053827.912,5010,612.8925375342001,0.00021728,8563011,72
2017-08-13,89313124.29112461,56689619.75621694,7814,5215745763.500353,316.29,120722000.0,721499184.2067351,975.0,4.83887706,23171,115459053827.912,5244,546.0907936497,0.00021681,8666790,78
2017-08-14,142244610.7231201,102584757.12136345,9833,4883059628.314298,296.1,174968000.0,743652153.0733224,1137.5,5.78545113,32063,115459053827.912,8689,551.0969140320001,0.000187,12249457,91
2017-08-15,145075437.36169556,127208247.06628093,7696,4917881691.875176,298.18,133924000.00000001,763274311.0851885,1400.0,4.87569032,25916,115459053827.912,5920,514.5889148254,0.000187,8196260,112
2017-08-16,100329093.16192089,83416782.34560181,135552,4914665035.001866,297.97,106436000.0,778539292.347671,1050.0,4.35333251,185955,115459053827.912,38301,0.012288282800000001,7.5e-06,30708572,84
2017-08-17,270791381.50124633,156404422.98177174,10813,4965215780.331704,301.02,744604992.0,846734906.5236944,812.5,8.46124586,32638,115459053827.912,9243,722.4436653119999,0.000134,6632735,65
2017-08-18,696156355.5749207,306368602.7271706,22796,7565968051.5,458.67,3087490048.0,1028067604.6294218,812.5,8.81946855,60756,115459053827.912,19914,1371.0869022486002,0.00011300000000000001,12230381,65
2017-08-19,850459716.6812856,466930024.71550065,27728,11499090679.127863,697.04,3196229888.0,1154460305.4880335,1637.5,11.99113257,75428,115459053827.912,23583,1742.5919561583999,0.000134,15789341,131
2017-08-20,476531316.96492875,301569179.95152867,19530,12747049866.907991,772.42,1494019968.0,1242492028.8292947,5800.0,8.876545,51980,72294285468.1702,16626,2306.7339082436,0.00015670000000000001,13646833,464
2017-08-21,329069548.5157445,198149104.1395703,16436,11949942329.181677,723.7,1123399936.0,1278114945.180136,9550.0,7.12165057,45061,68222137509.7038,15262,1707.1214053410001,0.000134,14376178,764
2017-08-22,472089714.0714011,253699748.76375163,15033,9850964668.967274,596.19,1393260032.0,1366179837.152158,10687.5,6.3407465400000005,41384,74685287379.0442,15785,1800.0460970814001,0.0001125,12271777,855
2017-08-23,344970799.63688534,207334124.3901827,9684,11417008464.0,690.96,501983008.0,1411923577.3624475,275.0,4.19772886,32477,272888550038.819,10902,1422.2459595312002,9.6e-05,6471527,22
2017-08-24,748264395.2599334,276359414.00394654,13311,11075904905.747702,670.03,407176992.0,1449451790.3479908,7112.5,7.21468871,55227,91536833682.2954,14160,2949.054899322,0.00011226,17391062,569
2017-08-25,375608222.576854,152986940.06184536,10916,10371026230.299822,627.06,348632000.0,1484394923.5536427,8600.0,5.53354222,29759,89420641867.303,13041,1886.9565582377998,7.840000000000001e-05,6820313,688
2017-08-26,266767375.95147282,128859377.57160693,8233,10621494192.231432,641.88,193414000.0,1513317410.488289,8450.0,3.66496469,37466,89420641867.3029,9915,822.321582696,9.6e-05,15280977,676
2017-08-27,277237421.1099399,180709632.12344295,6328,10357223585.033371,625.89,402718016.0,1530356756.9795291,537.5,2.93697368,21367,131701291700.145,7930,1169.8320094974001,9.6e-05,3846288,43
2017-08-28,218358917.82922804,175889720.66099253,10161,10256146061.199976,619.7,216272992.0,1545425375.149708,2175.0,4.39485369,30729,125189898706.546,10250,1075.559233569,9.726e-05,7451820,174
2017-08-29,586720549.0998937,318944489.20439464,12858,9867112579.424286,596.13,370016992.0,1618533782.568795,1775.0,5.1131182200000005,38572,119369386419.291,11959,1578.0614402097,0.0001,7802240,142
2017-08-30,762988847.7856491,532534001.69836766,15867,9092915200.895395,549.32,443856000.0,1971585776.4762397,1075.0,3.97986965,95981,119369386419.291,9002,593.1438981540001,0.00011300000000000001,66936991,86
2017-08-31,198901314.43807337,165124520.52830705,13568,9539399202.534983,576.25,298144000.0,2002241856.296985,1075.0,4.39237606,69559,119369386419.291,7305,299.86975870000003,0.00014894,75923072,86
2017-09-01,221605163.6986835,161674734.53924933,10362,9741313145.718374,588.4,393839008.0,2028910405.8694963,1450.0,3.7594561,32092,119369386419.291,7979,670.107712932,9.6e-05,27172842,116
2017-09-02,210947758.4607625,154309063.46137294,7858,10298021845.2,621.96,350478016.0,2044095811.6957202,1675.0,2.77770443,21439,119369386419.291,6151,1126.0060865760001,9.6e-05,4239513,134
2017-09-03,220102637.69038668,141520556.3440265,7515,9575598536.747215,578.27,344862016.0,2064472395.980512,1637.5,2.50160359,24984,119369386419.291,5865,1287.9465200678999,9.6e-05,6114668,131
2017-09-04,382676045.7285577,304571248.13568974,7599,10073186170.326231,608.26,328956992.0,2080366405.4148035,1612.5,4.31505577,21675,119369386419.291,6858,1427.1288632234,9.6e-05,4683681,129
2017-09-05,305974479.970041,207341555.51128393,7328,8527801718.337854,514.9,338977984.0,2117084281.6028984,1400.0,2.36431426,23093,119369386419.291,6799,947.18856867,5.978e-05,8652978,112
2017-09-06,383228353.1817266,231762552.93905145,8578,8965564672.30261,541.28,693240000.0,2172547695.8561583,1750.0,2.3711804,25721,119369386419.291,8300,1636.8711590288,9.6e-05,6711565,140
2017-09-07,247855861.12716362,146460455.19737554,8677,10550305073.98698,636.85,1082380032.0,2198974162.3974,2587.5,2.36196092,22718,119369386419.292,8138,1392.5840947515,7.04e-05,5515438,207
2017-09-08,250514723.55890146,165910944.11649197,7552,10841973953.484821,654.37,809763008.0,2220758231.803913,2350.0,1.71427559,20043,119369386419.291,8331,1232.0943355322001,5e-05,4227766,188
2017-09-09,492029519.09346604,172015285.30842698,6257,9689359254.246754,584.73,234578000.0,2233979046.0238237,1975.0,1.52744926,18302,119369386419.291,6064,632.88953226,4.693e-05,4107429,158
2017-09-10,198428351.16561213,98269657.63711146,5430,9056343980.332283,546.47,289508000.0,2242525914.78075,1937.5,1.16558703,13599,119369386419.291,224818,993.5630096780001,5.22e-05,10032758,155
2017-09-11,416016536.82410556,88285582.36661263,7256,8903742948.250145,537.19,274712000.0,2246592876.0765266,2175.0,1.20747464,18188,112376158820.344,7840,624.4121274903001,2.588e-05,4146681,174
2017-09-12,269289444.33355397,131676963.5850821,5993,8935490924.683077,539.03,273824992.0,2257027541.6729746,2412.5,1.31772647,14378,109634813601.556,7328,635.4067312980001,2.6000000000000002e-05,3265514,193
2017-09-13,143767433.09444085,107691096.2725447,6356,8446565741.162944,509.47,340344000.0,2260911389.3518133,2150.0,1.31399,16473,109634813601.556,6994,619.1367596232001,3.42e-05,4290986,172
2017-09-14,259162452.29541224,148722896.3931966,7296,8360809736.968287,504.22,257431008.0,2254464572.481772,2325.0,2.22638457,18416,109634813601.556,7806,1007.8845310792001,7.48e-05,4331944,186
2017-09-15,272121996.66271484,128354398.32076767,8634,6127535001.071695,369.49,707230976.0,2263291238.5099344,2125.0,2.0176211,80261,109634813601.556,9734,927.2545864791001,7.48e-05,37112444,170
2017-09-16,224446395.46711916,106294461.3887893,7809,7040532697.653173,424.49,313583008.0,2268513691.037383,2137.5,1.84246263,17328,109634813601.556,6959,424.48049142400004,9.143e-05,3455254,171
2017-09-17,143731606.0107215,83666036.95555113,5027,7280591937.994331,438.9,221828000.0,2269904258.58398,2212.5,0.73514599,13494,109634813601.556,4977,680.295,3.74e-05,2791293,177
2017-09-18,407052193.02398765,104127531.95406844,8675,7003505594.909287,422.09,458550015.99999994,2290587081.730956,4462.5,1.34094764,21264,109634813601.555,7798,411.87445963479996,9.6e-05,4336847,357
2017-09-19,672074861.0517166,137611940.89370713,9520,7976565806.793665,480.64,802321024.0,2320498681.929627,3325.0,1.42698773,24793,109634813601.556,9788,568.0654744832,7.355e-05,6137802,266
2017-09-20,264587502.29712355,181375159.2374947,8099,8743375626.468353,526.74,669264000.0,2327124845.22178,3100.0,1.38372935,20860,120996082127.31,8853,752.2572310284,7.48e-05,4745883,248
2017-09-21,230647720.38449308,141676884.00098503,5859,7898574349.652501,475.83,316731008.0,2320107773.8624325,425.0,1.1510887300000001,16152,167136744099.248,8104,951.66,4.52e-05,3593046,34
2017-09-22,491961913.1999894,115977635.24020083,6746,6939423689.118408,417.92,241904991.99999997,2319233086.7558494,5125.0,1.28153827,17469,107766775886.334,7441,839.9107622976001,4.08e-05,3926908,410
2017-09-23,174871724.0193613,88907167.28739306,5601,6897911317.735402,415.31,189127008.0,2325501406.974419,4400.0,0.88750027,14063,106967784186.969,7361,419.4701228921,2.6000000000000002e-05,3055430,352
2017-09-24,144226129.20020404,83213935.76550272,6580,7123327440.381921,428.8,114527000.0,2328897486.304644,3300.0,1.0734338,16406,106967784186.97,8961,67.00614041600001,3.74e-05,4383946,264
2017-09-25,257393315.05152223,173342634.96471813,8976,6972789092.266824,419.65,302272000.0,2330416642.3514075,3525.0,1.36306084,37282,106967784186.97,31118,66.3604085375,5e-05,5344856,282
